0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
DRX000550,hg38,TFs and others,PARK7,Neural,SH-SY5Y,Primary Tissue=Brain|Tissue Diagnosis=Neuroblastoma,"8039428,33.4,42.5,165",Genome-wide analysis of DJ-1-binding regions on human genes in SH-SY5Y cells treated with 6-OHDA,sample_name=DRS000579,sample comment=Source of DNA used for sequencing was ChIP samples from SH-SY5Y cells using anti-DJ-1 antibody.,cell type=SH-SY5Y cells,,,
DRX001460,hg38,TFs and others,MLL-AF6,Blood,ML-2,Primary Tissue=Bone Marrow|Tissue Diagnosis=Leukemia Acute Myelogenous,"30648533,94.0,11.0,477",Comprehensive identification and characterization of the binding sites of MLL-AF6,sample_name=DRS001418,"sample comment=Chromatin was obtained from the ML-2 human leukemia cell line, which expresses the MLL-AF6 fusion protein but not the wild type MLL protein. ChIP was performed using anti-MLL antibody and the precipitated DNAs were analyzed by deep sequencing.",,,,
DRX002911,hg38,TFs and others,LRIF1,Neural,hTERT RPE-1,Primary Tissue=Eye|Tissue Diagnosis=Normal,"39861269,96.9,75.4,1489",HBiX1 ChIP-seq in hTERT-RPE1,sample_name=DRS003043,"sample comment=HBiX1 ChIP-seq in hTERT-RPE1. The human HBiX1-specific mouse monoclonal antibody was raised against an HBiX1 fragment (amino acids 593–770), expressed in and purified from E. coli as a His6-fusion protein.",,,,
DRX002912,hg38,TFs and others,SMCHD1,Neural,hTERT RPE-1,Primary Tissue=Eye|Tissue Diagnosis=Normal,"38935687,96.2,63.0,1817",SMCHD1 ChIP-seq in hTERT-RPE1,sample_name=DRS003044,"sample comment=SMCHD1 ChIP-seq in hTERT-RPE1. The human SMCHD1-specific mouse monoclonal antibody was raised against an SMCHD1 fragment (amino acids 1645–2006), expressed in and purified from E. coli as a His6-fusion protein.",,,,
DRX002915,hg38,TFs and others,SMCHD1,Neural,hTERT RPE-1,Primary Tissue=Eye|Tissue Diagnosis=Normal,"32681797,97.5,45.0,992",SMCHD1 ChIP-seq in hTERT-RPE1 treated with HBiX1 siRNA,sample_name=DRS003047,"sample comment=SMCHD1 ChIP-seq in hTERT-RPE1 treated with HBiX1 siRNA. The human SMCHD1-specific mouse monoclonal antibody was raised against an SMCHD1 fragment (amino acids 1645–2006), expressed in and purified from E. coli as a His6-fusion protein.",,,,
DRX002918,hg38,TFs and others,LRIF1,Neural,hTERT RPE-1,Primary Tissue=Eye|Tissue Diagnosis=Normal,"37641191,97.1,68.6,1530",HBiX1 ChIP-seq in hTERT-RPE1 treated with SMCHD1 siRNA,sample_name=DRS003050,"sample comment=HBiX1 ChIP-seq in hTERT-RPE1 treated with SMCHD1 siRNA. The human HBiX1-specific mouse monoclonal antibody was raised against an HBiX1 fragment (amino acids 593–770), expressed in and purified from E. coli as a His6-fusion protein.",,,,
DRX013180,hg38,TFs and others,CTCF,Digestive tract,DLD-1,Primary Tissue=Colon|Tissue Diagnosis=Adenocarcinoma,"52061955,94.3,26.4,36512",DLD1 CTCF,sample_name=DRS012979,"sample comment=ChIP seq library. DLD-1 cell line,CTCF IP",,,,
DRX013181,hg38,TFs and others,RAD21,Digestive tract,DLD-1,Primary Tissue=Colon|Tissue Diagnosis=Adenocarcinoma,"61931642,96.2,11.0,32081",DLD1 Rad21,sample_name=DRS012980,"sample comment=ChIP seq library. DLD-1 cell line,Rad21 IP",,,,
DRX013190,hg38,TFs and others,CTCF,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"36286816,95.0,13.5,42674",HEK293 CTCF,sample_name=DRS012989,"sample comment=ChIP seq library. HEK293 cell line, CTCF IP",,,,
DRX013191,hg38,TFs and others,RAD21,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"72204217,93.0,10.0,29044",HEK293 Rad21,sample_name=DRS012990,"sample comment=ChIP seq library. HEK293 cell line, Rad21 IP",,,,
