 Experimental ID,Genome assembly,Track type class,Track type,Cell type class,Cell type,Cell type description,"Processing logs of ChIP, ATAC, DNase-seq (# of reads, % mapped, % duplicates, # of peaks [Q < 1E-05])",Title,"Processing logs of Bisulfite-seq (# of reads, % mapped, � coverage, # of hyper MR)",Meta data submitted by authors,,,,
DRX002911,hg38,TFs and others,LRIF1,Neural,hTERT RPE-1,Primary Tissue=Eye|Tissue Diagnosis=Normal,"39861269,96.9,75.4,1489",HBiX1 ChIP-seq in hTERT-RPE1,sample_name=DRS003043,"sample comment=HBiX1 ChIP-seq in hTERT-RPE1. The human HBiX1-specific mouse monoclonal antibody was raised against an HBiX1 fragment (amino acids 593–770), expressed in and purified from E. coli as a His6-fusion protein.",,,,
DRX002912,hg38,TFs and others,SMCHD1,Neural,hTERT RPE-1,Primary Tissue=Eye|Tissue Diagnosis=Normal,"38935687,96.2,63.0,1817",SMCHD1 ChIP-seq in hTERT-RPE1,sample_name=DRS003044,"sample comment=SMCHD1 ChIP-seq in hTERT-RPE1. The human SMCHD1-specific mouse monoclonal antibody was raised against an SMCHD1 fragment (amino acids 1645–2006), expressed in and purified from E. coli as a His6-fusion protein.",,,,
DRX002915,hg38,TFs and others,SMCHD1,Neural,hTERT RPE-1,Primary Tissue=Eye|Tissue Diagnosis=Normal,"32681797,97.5,45.0,992",SMCHD1 ChIP-seq in hTERT-RPE1 treated with HBiX1 siRNA,sample_name=DRS003047,"sample comment=SMCHD1 ChIP-seq in hTERT-RPE1 treated with HBiX1 siRNA. The human SMCHD1-specific mouse monoclonal antibody was raised against an SMCHD1 fragment (amino acids 1645–2006), expressed in and purified from E. coli as a His6-fusion protein.",,,,
DRX002918,hg38,TFs and others,LRIF1,Neural,hTERT RPE-1,Primary Tissue=Eye|Tissue Diagnosis=Normal,"37641191,97.1,68.6,1530",HBiX1 ChIP-seq in hTERT-RPE1 treated with SMCHD1 siRNA,sample_name=DRS003050,"sample comment=HBiX1 ChIP-seq in hTERT-RPE1 treated with SMCHD1 siRNA. The human HBiX1-specific mouse monoclonal antibody was raised against an HBiX1 fragment (amino acids 593–770), expressed in and purified from E. coli as a His6-fusion protein.",,,,
DRX013190,hg38,TFs and others,CTCF,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"36286816,95.0,13.5,42674",HEK293 CTCF,sample_name=DRS012989,"sample comment=ChIP seq library. HEK293 cell line, CTCF IP",,,,
DRX013191,hg38,TFs and others,RAD21,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"72204217,93.0,10.0,29044",HEK293 Rad21,sample_name=DRS012990,"sample comment=ChIP seq library. HEK293 cell line, Rad21 IP",,,,
DRX021114,hg38,TFs and others,Epitope tags,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"45084660,27.4,81.8,5230",Illumina Genome Analyzer IIx sequencing of SAMD00019999,sample_name=293T MeTA FLAG (-7-30-11),cell_line=HEK293,,,,
DRX021116,hg38,TFs and others,Epitope tags,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"38518317,41.9,83.7,1882",Illumina Genome Analyzer IIx sequencing of SAMD00019999,sample_name=293T MeTA FLAG (-7-30-11),cell_line=HEK293,,,,
DRX022350,hg38,TFs and others,TAF7,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"19191747,90.6,11.7,796",Illumina HiSeq 2500 sequencing of SAMD00022904,sample_name=TAF7,cell_line=HEK293T,,,,
DRX022353,hg38,TFs and others,ICE1,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"76803741,98.2,28.2,1434",Illumina HiSeq 2500 sequencing of SAMD00022902,sample_name=NT_ICE1 IP,cell_line=HEK293T,,,,
DRX022354,hg38,TFs and others,ICE1,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"78838110,98.2,28.7,1446",Illumina HiSeq 2500 sequencing of SAMD00022902,sample_name=NT_ICE1 IP,cell_line=HEK293T,,,,
DRX022355,hg38,TFs and others,ICE1,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"57528481,97.9,48.7,1173",Illumina HiSeq 2500 sequencing of SAMD00022902,sample_name=NT_ICE1 IP,cell_line=HEK293T,,,,
DRX022357,hg38,TFs and others,MED26,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"66830887,98.1,47.5,1234",Illumina HiSeq 2500 sequencing of SAMD00022900,sample_name=MED26 KD_ICE,cell_line=HEK293T,,,,
DRX022358,hg38,TFs and others,MED26,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"76202810,97.9,37.7,1397",Illumina HiSeq 2500 sequencing of SAMD00022900,sample_name=MED26 KD_ICE,cell_line=HEK293T,,,,
DRX022359,hg38,TFs and others,MED26,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"79125076,97.6,45.2,1371",Illumina HiSeq 2500 sequencing of SAMD00022900,sample_name=MED26 KD_ICE,cell_line=HEK293T,,,,
DRX059624,hg38,TFs and others,DOT1L,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"29232927,87.3,12.1,2830",Illumina HiSeq 2500 sequencing of SAMD00055697,sample_name=0001_293T-fanChIP-DOT1L,cell_line=293T,,,,
DRX059627,hg38,TFs and others,CBX8,Kidney,293,Primary Tissue=Kidney|Tissue Diagnosis=Normal,"31983776,97.4,10.6,1523",Illumina HiSeq 2500 sequencing of SAMD00055700,sample_name=0004_293T-fanChIP-CBX8,cell_line=293T,,,,
