0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
DRX000549,mm10,TFs and others,Park7,Unclassified,Unclassified,,"9270532,1.9,28.5,1273",Genome-wide analysis of DJ-1-binding regions on human genes in SH-SY5Y cells,sample_name=DRS000579,sample comment=Source of DNA used for sequencing was ChIP samples from SH-SY5Y cells using anti-DJ-1 antibody.,cell type=SH-SY5Y cells,,,
DRX001053,mm10,TFs and others,Smarca4,Muscle,C2C12,Primary Tissue=Skeletal Muscle|Tissue Diagnosis=NOS,"25914014,97.2,33.6,306",C2C12 Growth Brg1,sample_name=DRS001035,sample comment=C2C12 undifferentiated cells 0.5%formaldehyde 5min fixation,,,,
DRX001055,mm10,TFs and others,Smarca4,Muscle,C2C12,Primary Tissue=Skeletal Muscle|Tissue Diagnosis=NOS,"20043269,97.1,19.1,300",C2C12 Differentiated Brg1,sample_name=DRS001037,sample comment=C2C12 differentiated cells 0.5%formaldehyde 5min fixation,,,,
DRX001057,mm10,TFs and others,Smarca4,Muscle,C2C12,Primary Tissue=Skeletal Muscle|Tissue Diagnosis=NOS,"20423716,97.2,14.7,280",C2C12Chd2miR G Brg1,sample_name=DRS001039,sample comment=C2C12 cells transfected mir3139 targeted Chd2 undifferentiated cells 0.5%formaldehyde 5min fixation,,,,
DRX001059,mm10,TFs and others,Smarca4,Muscle,C2C12,Primary Tissue=Skeletal Muscle|Tissue Diagnosis=NOS,"26451360,89.5,46.8,411",C2C12Chd2miR D Brg1,sample_name=DRS001041,sample comment=C2C12 cells transfected mir3139 targeted Chd2 differentiated cells 0.5%formaldehyde 5min fixation,,,,
DRX001066,mm10,TFs and others,Chd2,Muscle,C2C12,Primary Tissue=Skeletal Muscle|Tissue Diagnosis=NOS,"34897983,95.5,40.4,621",C2C12miRChd2 G H4K16ac,sample_name=DRS001048,sample comment=C2C12 undifferentiated cells 0.5%formaldehyde 5min fixation,,,,
DRX002644,mm10,TFs and others,Nr5a1,Unclassified,Unclassified,,"30690792,97.0,20.4,736",Ad4BP ChIP-seq of Y-1 cells HB,sample_name=DRS002739,sample comment=ChIP-seq for Ad4BP,,,,
DRX002647,mm10,TFs and others,Nr5a1,Unclassified,Unclassified,,"25686584,97.2,21.2,572",Ad4BP ChIP-seq of Y-1 cells HS,sample_name=DRS002742,sample comment=ChIP-seq for Ad4BP,,,,
DRX003661,mm10,TFs and others,Chd4,Blood,CD4+ T cells,,"9347856,82.4,18.3,529",ChIP-seq anti-Chd4 Th1 (3 days),sample_name=DRS003821,"sample comment=Mouse naÃ¯ve CD4 T cells were stimulated under Th1 conditions for 3 days, then ChIP-seq for Chd4 was performed.",,,,
DRX003662,mm10,TFs and others,Chd4,Blood,CD4+ T cells,,"12938836,75.8,21.3,559",ChIP-seq anti-Chd4 Th2 (3 days),sample_name=DRS003822,"sample comment=Mouse naÃ¯ve CD4 T cells were stimulated under Th2 conditions for 3 days, then ChIP-seq for Chd4 was performed.",,,,
