Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,create_date,version,GEO_Accession (exp),source_name,tissue,chip_antibody,Library Name,sex,cell_type,cell_line,Individual,isolate,AGE,Cohort,common_name,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),genotype,Experimental_Factor:_immunoprecipitate (exp),Developmental_stage,Organism_part,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,disease,Scientific_Name,sample_type,Experimental_Factor:_compound (exp),lab,donor_id,organism,metastatic_site,dev_stage,health_state,treatment,BIOMATERIAL_PROVIDER,BioSampleModel,disease_stage,Source,Experimental_Factor:_dose (exp),disease_state,hbv_genotype,antibody,external_id,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Sample_name,Submitter_Id,ChIP,AssemblyName,Broker_name,Collection_Date,geo_loc_name_country,geo_loc_name_country_continent,provider/strain,geo_loc_name,Library,Passages,chip_antibody_vendor,Experimental_Factor:_organism (exp),INSDC_center_alias,replicate,genotype/variation,ENA_first_public,ENA_last_update,lot,agent,genotype/antibody,Sample_id,strain,cell_description,infection,controlid,datatype_description,datatype,treatment_description,vendor,tissue_type,read_name_barcode_proc_directive (run),antibody_antibodydescription,antibody_targetdescription,antibody_vendorid,antibody_vendorname,labexpid,Protocol_description,protocol,cell_lineage,cell_sex,replicate_description,bio_material,Development_stage,cell_karyotype,developmental_stage/tissue,tranduced_with,treated_with,Experimental_Factor:_genotype (exp),cell_organism,cell,chip_target,Experimental_Factor:_sex (exp),replication,target,Experimental_Factor:_cell_line (exp),chip-antibody,clinical_history,Experimental_Factor:_cell_type (exp),geographic_location_(country_and/or_sea),softwareversion,specimen_with_known_storage_state,treatment/condition,tumor_stage,tumour_stage,type,Experimental_Factor:_OrganismPart (exp),lab_description,actual_read_length (run),affectedstatus,Experimental_Factor:_KNOCK_DOWN (exp),tag,antibodies,catalog_number,chip_antibody_catalog,chip_antibody_provider,Experimental_Factor:_developmental_stage (exp)
SRR2133511,ChIP-Seq,50,1013534900,PRJNA291410,SAMN03943838,588647225,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1123863,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2016-11-21T00:00:00Z,GSM1835891,SRP061770,2015-07-29T15:27:00Z,1,GSM1835891,ChIP-seq_TTC549_NoDox,,"SMARCC1/BAF155 (Santa Cruz\\, R-8\\, sc-9746)",,,liver rhabdoid tumor derived cell line,TTC549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,untreated,,,,,,,,,,,,,,
SRR2133512,ChIP-Seq,50,1035828850,PRJNA291410,SAMN03943839,598604559,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1123864,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2016-11-21T00:00:00Z,GSM1835892,SRP061770,2015-07-29T15:27:00Z,1,GSM1835892,ChIP-seq_TTC549_NoDox,,"SMARCA4/BRG1 (Abcam\\, EPNCIR111A\\, ab110641)",,,liver rhabdoid tumor derived cell line,TTC549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,untreated,,,,,,,,,,,,,,
SRR2133513,ChIP-Seq,50,1202424500,PRJNA291410,SAMN03943819,703099656,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1123865,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2016-11-21T00:00:00Z,GSM1835893,SRP061770,2015-07-29T15:30:00Z,1,GSM1835893,ChIP-seq_TTC549_NoDox,,"H3K4me1 (Abcam\\, ab8895)",,,liver rhabdoid tumor derived cell line,TTC549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,untreated,,,,,,,,,,,,,,
SRR2133514,ChIP-Seq,50,974235300,PRJNA291410,SAMN03943820,590087313,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1123866,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2016-11-21T00:00:00Z,GSM1835894,SRP061770,2015-07-29T15:27:00Z,1,GSM1835894,ChIP-seq_TTC549_NoDox,,"H3K4me3 (Millipore\\, 07-473)",,,liver rhabdoid tumor derived cell line,TTC549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,untreated,,,,,,,,,,,,,,
SRR2133515,ChIP-Seq,49,863002610,PRJNA291410,SAMN03943821,467653537,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1123867,Illumina MiSeq,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2016-11-21T00:00:00Z,GSM1835895,SRP061770,2015-07-29T15:28:00Z,1,GSM1835895,ChIP-seq_TTC549_NoDox,,"H3K27ac (Cell Signaling Technology\\, D5E4\\, 8173)",,,liver rhabdoid tumor derived cell line,TTC549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,untreated,,,,,,,,,,,,,,
SRR2133516,ChIP-Seq,50,1210850550,PRJNA291410,SAMN03943822,735873109,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1123868,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2016-11-21T00:00:00Z,GSM1835896,SRP061770,2015-07-29T15:33:00Z,1,GSM1835896,ChIP-seq_TTC549_Dox,,"SMARCC1/BAF155 (Santa Cruz\\, R-8\\, sc-9746)",,,liver rhabdoid tumor derived cell line,TTC549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doxycycline induced SMARCB1 reexpresion,,,,,,,,,,,,,,
SRR2133517,ChIP-Seq,50,1272856350,PRJNA291410,SAMN03943823,771939411,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1123869,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2016-11-21T00:00:00Z,GSM1835897,SRP061770,2015-07-29T17:05:00Z,1,GSM1835897,ChIP-seq_TTC549_Dox,,"SMARCA4/BRG1 (Abcam\\, EPNCIR111A\\, ab110641)",,,liver rhabdoid tumor derived cell line,TTC549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doxycycline induced SMARCB1 reexpresion,,,,,,,,,,,,,,
SRR2133518,ChIP-Seq,50,922527050,PRJNA291410,SAMN03943824,566565708,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1123870,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2016-11-21T00:00:00Z,GSM1835898,SRP061770,2015-07-29T15:25:00Z,1,GSM1835898,ChIP-seq_TTC549_Dox,,"H3K4me1 (Abcam\\, ab8895)",,,liver rhabdoid tumor derived cell line,TTC549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doxycycline induced SMARCB1 reexpresion,,,,,,,,,,,,,,
SRR2133519,ChIP-Seq,50,1101924750,PRJNA291410,SAMN03943825,699714569,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1123871,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2016-11-21T00:00:00Z,GSM1835899,SRP061770,2015-07-29T15:25:00Z,1,GSM1835899,ChIP-seq_TTC549_Dox,,"H3K4me3 (Millipore\\, 07-473)",,,liver rhabdoid tumor derived cell line,TTC549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doxycycline induced SMARCB1 reexpresion,,,,,,,,,,,,,,
SRR2133520,ChIP-Seq,50,1277004750,PRJNA291410,SAMN03943826,783128493,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1123872,Illumina HiSeq 2000,SINGLE,ChIP,GENOMIC,Homo sapiens,ILLUMINA,2016-11-21T00:00:00Z,GSM1835900,SRP061770,2015-07-29T15:26:00Z,1,GSM1835900,ChIP-seq_TTC549_Dox,,"H3K27ac (Cell Signaling Technology\\, D5E4\\, 8173)",,,liver rhabdoid tumor derived cell line,TTC549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doxycycline induced SMARCB1 reexpresion,,,,,,,,,,,,,,
